Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,"Pre-workshop survey: Would you mind if the workshop was recorded and posted, with your voice but without your names or pictures?",Pre-workshop survey: Would you mind if the workshop was being streamed online in parallel?,Pre-workshop survey: What do you expect to get from this course?
,,2020-04-02 17:53:46.797084+00:00,Graduate student,Biological Sciences,Linux,Git,Python,No and I don't know what it is,GitHub; GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,Know more about control version and coderefinery
,,2020-04-02 17:13:34.094975+00:00,Graduate student,Biological Sciences,Windows,Git,R; Python,No and I don't know what it is,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,Yes,No,Better coding practices
,,2020-04-02 16:36:14.215929+00:00,Researcher,Materials Engineering,Linux,I don't use version control and I don't know what it is,Matlab; R; Python; Other,No and I don't know what it is,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,I am just open to get what I can learn form this course which may help improve my ability or robustness of coding in my projects.
,,2020-04-02 14:04:51.513168+00:00,Postdoc,Biological Sciences,Linux,I don't use version control but I know what it is,R; Python,No and I don't know what it is,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,introduction to version control and tips/hints for better managing scripts
,,2020-04-02 13:57:47.237023+00:00,Other,Health Sciences,Linux,I don't use version control but I know what it is,R; Python,No and I don't know what it is,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From friend/colleague,No,No,To be introduced to version control for the sake of writing reproducible code
,,2020-04-02 13:52:47.881028+00:00,Research software engineer,Biological Sciences,Windows,Git,R; Python,Yes,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,"I expect to gain a broader understanding of the best practice in version control, mainly through Git"
,,2020-04-02 13:49:58.978598+00:00,Researcher,Chemical Sciences,Linux,Git,Python; Fortran 90+; Other,No and I don't know what it is,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,
,,2020-04-02 13:40:54.226679+00:00,Graduate student,Biological Sciences,macOS,Git,R; Python,No but I know what it is,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,Yes,Yes,How to better use version control
,,2020-04-02 13:40:51.456919+00:00,Researcher,Health Sciences,Windows,Git,R; Python,No but I know what it is,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,
,,2020-04-02 13:34:21.634641+00:00,Postdoc,Mechanical Engineering,Windows,Git,R; Python,No and I don't know what it is,GitLab,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From newsletter or university web site,No,No,Learn how to use git to maintain projects and collaborate with other researchers
,,2020-04-02 13:32:57.451876+00:00,Researcher,Mechanical Engineering,Linux,Git,Matlab; Python; C++,No but I know what it is,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,A good notion of how to implement proper version control to my current and future projects.
,,2020-04-02 13:26:56.280168+00:00,Graduate student,Materials Engineering,Linux,Git,Matlab; Python; Fortran 77; Fortran 90+,No but I know what it is,GitHub; GitLab; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",From mailing list,No,No,
