Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is your current position?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,"Pre-workshop survey: Do you write tests (e.g. unit tests, integration tests, ...) in your programming project(s)?","Pre-workshop survey: Are you using automated testing platforms (e.g. Travis CI, Jenkins or GitLab CI) in your programming project(s)?",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using Jupyter Notebooks in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: Where did you find out this CodeRefinery workshop?,Pre-workshop survey: What do you expect to get from this course?
,,2020-10-23 14:16:33.006701+00:00,Undergraduate student,Biological Sciences,Windows,10,I don't use version control but I know what it is,R; Python; Other,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development,From advisor/supervisor,"I am mostly self-taught so I have some knowledge gaps on the do's and don'ts & best practice. General knowledge of version control and get myself to start using things like Git and Jupyter (instead of notepad) to make things a bit less chaotic, and to make my code more usable for others."
,,2020-10-23 13:44:24.517794+00:00,Researcher,Earth and Related Environmental Sciences,Linux,Red Hat Enterprise Linux 8.2,Subversion,Python; Fortran 77; Fortran 90+,No and I don't know what it is,No but I know what it is,Yes,No and I don't know what it is,Comments in the source code; Wiki; PDF; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Git branch design; Software licensing; Reproducible research,From mailing list,"I would like to get a good basis in how to use Git, so I can teach my colleagues and start using it more often"
,,2020-10-23 10:52:33.651337+00:00,Graduate student,Physical Sciences,Linux,Archlinux + Nix for a lot of stuff,Git; Subversion,Matlab; R; Python; C++; Fortran 90+; Julia; Haskell; Go; Rust; Other,Yes,Yes,No but I know what it is,Yes,Comments in the source code; Doxygen; RST/Sphinx; MkDocs; PDF; HMTL; Markdown; README files; Other,GitHub; GitLab,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",,From mailing list,"I like supporting computer literacy activities. I also hope to observe the more experienced instructors, so I might better my own pedadgogy."
,,2020-10-23 10:08:31.958163+00:00,Graduate student,Computer and Information Sciences,Linux,ubuntu 18.04,Git,Python; C++; Other,No but I know what it is,No but I know what it is,No and I don't know what it is,Yes,Comments in the source code; PDF; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,Better practices in programming and design
,,2020-10-23 08:34:33.339394+00:00,Other,Biological Sciences,Linux,Ubuntu 20.04,Git,R; Python; Rust,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; Markdown,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From friend/colleague,
,,2020-10-23 08:29:35.703410+00:00,Researcher,Mathematics,Windows,,I don't use version control but I know what it is,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No documentation; README files,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,Introduction to version control; Automated testing; Reproducible research,From friend/colleague,
,,2020-10-23 08:29:32.215076+00:00,Postdoc,Mechanical Engineering,macOS,Linux (Fedora),I don't use version control and I don't know what it is,C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,I expect to learn more about how to code in a way that the code is usable for another person who wants to develop it further.
,,2020-10-22 19:17:04.733251+00:00,Undergraduate student,Chemical Sciences,macOS,Catalina 10.15.6,I don't use version control but I know what it is,Python; C; Fortran 77; Fortran 90+; Julia,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No documentation,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From advisor/supervisor,Learn how to use version control to work on project with other people and learn what are the best way to use programmation
,,2020-10-22 13:58:03.531077+00:00,Research software engineer,Physical Sciences,Linux,Ubuntu 18.04.5 LTS,Git,Python; C; C++; Fortran 90+,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Collaborative distributed version control; Managing complexity and modular code development; Automated testing,From friend/colleague,I expect to get a hands-on experience with advanced Software Engineering tools
,,2020-10-22 11:12:27.166339+00:00,Other,Economics and Business,Windows,windows10,I don't use version control and I don't know what it is,Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,Introduction to version control; Jupyter notebooks; Reproducible research,From newsletter or university web site,to get insights into how to make a logical sense of the numerous disperse codes/jupyter notebooks I have created during the data clearing and processing stage
,,2020-10-20 09:25:02.959518+00:00,Researcher,Other Engineering and Technologies,Windows,Windows 10,Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; PDF; README files,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Reproducible research,From advisor/supervisor,
,,2020-10-19 17:48:20.993307+00:00,Postdoc,Biological Sciences,Linux,Fedora 30 or Windows 10,Git,Python; C; Other,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; README files,I'm not using a web-based repository; GitLab,I am an expert,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,"To improve my coding practices, understanding of versioning and the quality and organisation of my code."
,,2020-10-15 11:28:17.189769+00:00,Researcher,Physical Sciences,Windows,Windows 10,Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Git branch design; Software licensing,From advisor/supervisor,Expand my knowledge about new methods to develop and share codes and how to improve my work and make it more efficient
,,2020-10-15 10:57:05.886796+00:00,Researcher,Biological Sciences,Windows,"Windows 10 Pro // Linux 64-bits, Ubuntu 20",I don't use version control and I don't know what it is,Matlab; R; Python; Other,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; README files,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From friend/colleague,"To improve my programming skills, to learn some tips and to be more fearless to develop my own codding features and scripts."
,,2020-10-15 07:52:21.012837+00:00,Graduate student,Biological Sciences,Linux,"Linux 5.3.0, Ubuntu 19.10",Git,R; Python; Other,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Wiki; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Reproducible research,From friend/colleague,Better overview of how to structure code for the purpose of collaborative version control.
,,2020-10-15 03:50:27.288188+00:00,Other,Computer and Information Sciences,Windows,,Git,R; Python; C++; Other,Yes,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From mailing list,
,,2020-10-14 15:45:06.253098+00:00,Research software engineer,Physical Sciences,Linux,Ubuntu 18.04 LTS / 20.04 LTS,Git,Python; C++; Other,Yes,No but I know what it is,Yes,No but I know what it is,Comments in the source code; Doxygen; Wiki; RST/Sphinx; readthedocs.org; PDF; HMTL; Markdown; README files,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design; Software licensing; Reproducible research,From newsletter or university web site,"Being able to help others and share my knowledge, being able to improve my instructor/teaching skills."
,,2020-10-14 14:53:04.198100+00:00,Research software engineer,Computer and Information Sciences,Windows,10,Git,C; C++,No but I know what it is,No but I know what it is,Yes,No and I don't know what it is,Comments in the source code; Doxygen,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Jupyter notebooks; Managing complexity and modular code development; Automated testing; Git branch design,From friend/colleague,
,,2020-10-14 14:23:13.734541+00:00,Researcher,Other Medical and Health Sciences,Windows,Windows 10 Entreprise,I don't use version control but I know what it is; Git,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Other,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design,From friend/colleague,"Progression in version control, repository use for code sharing and efficiency in collaborations"
,,2020-10-14 12:47:32.789262+00:00,Researcher,Educational Sciences,Windows,Windows 10,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,Introduction to version control; Documentation; Collaborative distributed version control; Reproducible research,From advisor/supervisor,"A basic understanding of how I could use a web-based repository for my code, how to document my code, and how to create an efficient workflow when sharing code with collaborators/collaboratively work on refining code. Also, how to work towards creating code that can be reproducible and publically accessible."
,,2020-10-14 10:43:02.765143+00:00,Professor,Educational Sciences,Windows,Windows 7 or 10,I don't use version control but I know what it is; Git,R; Python; C,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code; HMTL; Markdown; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Documentation; Jupyter notebooks; Collaborative distributed version control; Reproducible research,From mailing list,Concrete directions toward betters habits in writing and managing scripts across users in a research project so that we can manage analyses and minimize confusion across years and project phases; and also in such a way that it will be possible to publish the workflow and scripts online post-project for external users to take up and use (per open science principles)
,,2020-10-13 16:13:35.483273+00:00,Researcher,Veterinary Science,Windows,Win 10,Git,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written many small codes and/or contributed to large complex software,I do not know what most of these commands do,Git branch design,From mailing list,
,,2020-10-13 15:49:46.236293+00:00,Graduate student,Mechanical Engineering,Windows,Windows 10 and Ubuntu 20.04,I don't use version control and I don't know what it is,Python; C++; Fortran 77; Fortran 90+,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Git branch design,Other,PRACE Training Website
,,2020-10-13 12:03:01.828797+00:00,Postdoc,Biological Sciences,Linux,Description: Ubuntu 14.04.5 LTS     Codename: trusty,I don't use version control and I don't know what it is,R; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",Introduction to version control; Documentation; Managing complexity and modular code development; Git branch design; Reproducible research,From friend/colleague,Learn about modular code development and its management. Get base knowledge into the above selected topics.
,,2020-10-13 09:59:16.888681+00:00,Graduate student,Earth and Related Environmental Sciences,Windows,Windows 10 Version 1909,I don't use version control and I don't know what it is,R; Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,Yes,Comments in the source code; README files,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,Introduction to version control; Documentation; Automated testing; Git branch design; Reproducible research,From newsletter or university web site,I expect to learn new tools to automatically review and test my code.
,,2020-10-13 09:31:21.258166+00:00,Postdoc,Chemical Sciences,Windows,Windows 10,I don't use version control and I don't know what it is,Matlab; Python; C++,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have written my own simple programs,I do not know what most of these commands do,Introduction to version control; Collaborative distributed version control; Automated testing; Git branch design,From friend/colleague,learn how to set up and manage a coding project with collaborators
