Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2018-11-07 11:51:17.380465+00:00,Windows,"Windows 10, with Ubuntu subsystem",Git,Python; C++,Yes,Yes,No and I don't know what it is,Yes,Comments in the source code; README files,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Chemical Sciences,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,"I would like my code to be easy to used, understood and maintained by me and also other people. And I would like to get organized when I develop different parts of my code. There for I want to systematically learn how to document the code, setting up continuous tests, and designing modules."
,,2018-11-08 10:36:18.793743+00:00,Linux,Ubuntu,Git,Matlab; C; C++; Haskell,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Physical Sciences,Introduction to version control; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Archaeology with Git; Software licensing; Reproducible research,
,,2018-11-08 22:17:55.736641+00:00,macOS,10.13.6 but I might upgrade to Mojave,Git,R; Python,No but I know what it is,No but I know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Biological Sciences,Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Archaeology with Git; Software licensing; Reproducible research,"To practice on things that I know about but have never used myself or that I am not comfortable enough with (managing complexity and modular code development, automated testing among others)"
,,2018-11-15 14:48:54.316279+00:00,Windows,,I don't use version control and I don't know what it is,Matlab; R; C; C++,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Physical Sciences,Introduction to version control; Documentation; Managing complexity and modular code development; Automated testing; Reproducible research,
,,2018-11-19 10:23:51.477001+00:00,macOS,High Sierra,I don't use version control but I know what it is,Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown; README files,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Reproducible research,"I hope to improve the way I document my work, learn about Git (how to use it etc), and how to make my code more portable."
,,2018-11-19 10:30:36.692675+00:00,Linux,Ubuntu 16.04,Git,R; Python,No but I know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Markdown,GitHub; Redmine,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,Overall knowledge/knowledge improvement about the topics
,,2018-11-20 14:18:41.944689+00:00,macOS,macOS Sierra,Git,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No but I know what it is,Comments in the source code; README files,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Basic Medicine,Documentation; Jupyter notebooks; Managing complexity and modular code development; Automated testing; Integrated development environments; Git branch design; Software licensing; Reproducible research,
,,2018-11-21 16:32:55.578378+00:00,macOS,,Git,R; Python; C++; Julia; Go,No but I know what it is,No but I know what it is,No but I know what it is,No but I know what it is,Comments in the source code; Markdown,GitHub,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I have tried an IDE but prefer text editors for my development,Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Building portable code with CMake; Integrated development environments; Archaeology with Git; Git branch design; Software licensing; Reproducible research,
,,2018-11-22 09:58:29.917625+00:00,macOS,Mojave 10.14.1,I don't use version control but I know what it is,R; Python,No but I know what it is,No and I don't know what it is,No but I know what it is,No and I don't know what it is,Comments in the source code; README files,I'm not using a web-based repository,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Biological Sciences,Introduction to version control; Documentation; Jupyter notebooks; Automated testing; Reproducible research,A better understanding of best practice in version control and documentation.
,,2018-11-26 08:53:38.506530+00:00,Windows,Windows 10,Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,I have written my own simple programs,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",Introduction to version control; Managing complexity and modular code development; Automated testing,"I have been using Matlab for my time in university, but now as a PhD student looking into machine learning and adaptive filtering I want to use Python do to the large community in machine learning especially.     I feel a bit lost when it comes to Git and GitHub and also regarding the work flow of python (using Atom IDE atm).     Would be nice to get a firm grip on a proper work flow including documentation, and how to use Git properly.    Also interested in tips on code development and testing."
