Submitter,Submitter Email,Submission Date,Pre-workshop survey: What is the operating system that you will use during the course (on your laptop)?,"Pre-workshop survey: Which version of operating system are you using? If your operating system is Linux, which distribution are you using? This will help us to create more targeted installation instructions.","Pre-workshop survey: Are you using version control? If yes, which?",Pre-workshop survey: Which programming languages are you using or will you use in your projects?,Pre-workshop survey: Are you using automated testing in your programming project(s)?,"Pre-workshop survey: Are you using code coverage analysis in your programming project(s)? These are tools and services like Gcov, Cobertura, Codecov, Coveralls, Code Climate, etc.",Pre-workshop survey: Are you employing code review in your programming project(s)?,Pre-workshop survey: Are you using the Travis or Jenkins or GitLab CI continuous integration service in your programming project(s)?,Pre-workshop survey: How do you document your code?,Pre-workshop survey: Are you using a web-based repository for your code(s)? Which ones?,Pre-workshop survey: How would you describe your programming experience?,Pre-workshop survey: How comfortable are you with the Unix/Linux command line working in a terminal window?,Pre-workshop survey: Are you using an integrated development environment (IDE) for your programming project(s)?,Pre-workshop survey: Please specify your main academic discipline. Please take the entry which is closest to your main field of study/work.,Pre-workshop survey: Please select the sessions that you are most interested in.,Pre-workshop survey: What do you expect to get from this course?
,,2019-05-21 06:04:57.031120+00:00,Windows,Windows 10,I don't use version control but I know what it is,R; Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; PDF; Markdown,I'm not using a web-based repository,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Sociology,Introduction to version control; Documentation; Managing complexity and modular code development; Reproducible research,"Better coding practices and insights into the industry/discipline ""standards""."
,,2019-05-22 11:18:01.617436+00:00,Windows,Windows 10,I don't use version control and I don't know what it is,R,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,PDF; HMTL,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Sociology,Introduction to version control; Jupyter notebooks; Git branch design,
,,2019-05-24 08:36:11.489292+00:00,Windows,Windows 10 Enterprise,I don't use version control and I don't know what it is; I don't use version control but I know what it is,R,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,I'm not using a web-based repository,I have no programming experience,I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Clinical Medicine,Introduction to version control; Documentation; Collaborative distributed version control; Automated testing; Software licensing; Reproducible research,I hope to learn tool and tips that provide me with a better work flow and make my work more reproducible and interpretable.    From the course description I feel out of my comfort zone.
,,2019-05-28 06:27:56.391612+00:00,Windows,"Windows 10 Pro, 64-bit",I don't use version control and I don't know what it is,R; Python; Perl,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Markdown,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,"Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Environmental Biotechnology,Introduction to version control; Collaborative distributed version control; Managing complexity and modular code development; Archaeology with Git; Git branch design; Reproducible research,I hope to get a better understanding of different coding language and to get some tools/knowledge on where to find tools to do programming in my field.
,,2019-05-29 10:40:08.596071+00:00,macOS,10.14.3,I don't use version control but I know what it is,Python,No but I know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code,GitHub,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",I know what IDEs are but have not tried any,Computer and Information Sciences,Introduction to version control; Documentation; Jupyter notebooks; Automated testing; Reproducible research,
,,2019-05-31 09:36:09.714229+00:00,Linux,"16,08",Git,Matlab; Python,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; README files,GitHub; Bitbucket,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Computer and Information Sciences,Introduction to version control; Automated testing; Git branch design; Reproducible research,I would like to know how I could use professional software development techniques within my research
,,2019-06-02 09:07:49.561981+00:00,macOS,macOS Mojave version 10.14.5,Git,R,No and I don't know what it is,No and I don't know what it is,No but I know what it is,No but I know what it is,Markdown,GitLab,"Basic understanding and experience, I have looked through code and made minor adjustments","I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Clinical Medicine,Introduction to version control; Documentation; Collaborative distributed version control; Reproducible research,
,,2019-06-03 08:32:58.628178+00:00,Linux,Win10 native    VB Ubuntu (mate) 16.04LTS,Git; Other,R; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,README files,GitHub,I have written my own simple programs,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh",No and I don't know what it is,Environmental Biotechnology,Introduction to version control; Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Archaeology with Git; Git branch design; Reproducible research,Teach me something that's useful for me. Thanks!  :o)
,,2019-06-08 13:48:58.103769+00:00,macOS,,I don't use version control and I don't know what it is,Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Wiki; PDF; HMTL,I'm not using a web-based repository,"Basic understanding and experience, I have looked through code and made minor adjustments",I do not know what most of these commands do,No and I don't know what it is,Media and Communications,Introduction to version control; Automated testing,Better understanding on how to code more properly
,,2019-06-10 21:55:56.110580+00:00,Linux,,Git,Python; Other,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,No and I don't know what it is,Comments in the source code; Other,GitHub; Bitbucket,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)",Mechanical Engineering,,
,,2019-06-11 08:16:27.362569+00:00,Windows,Win10,Git,Matlab; Python; C++,No but I know what it is,No and I don't know what it is,No but I know what it is,Yes,Comments in the source code; Doxygen; Markdown; README files,GitLab,I have written many small codes and/or contributed to large complex software,"I know what most of the following commands do: cd, ls, cat, mv, rm, chmod, man, mkdir, cp, ssh","Yes, I am using an IDE (such as Pyzo, NinjaIDE, PyCharm, Spyder, VisualStudio, CLion, Multi, RStudio, Eclipse, or other)","Electrical Engineering, Electronic Engineering, Information Engineering",Documentation; Collaborative distributed version control; Managing complexity and modular code development; Automated testing; Integrated development environments; Archaeology with Git; Git branch design,Improve my programming skills focusing on modularity
